form,sound,meaning,type,etymology
佚,yi4,"lost; missing; forsaken; dissolute; (of a woman) beautiful; fault; offense; hermit; variant of 逸[yi4]",ideographic,"To lose 失 a person 亻"
佛,fo2,"Buddha; Buddhism (abbr. for 佛陀[Fo2tuo2])",pictophonetic,"person"
作,zuo1,"(bound form) worker; (bound form) workshop; (slang) troublesome; high-maintenance (person)",ideographic,"A person 亻 making something for the first time 乍; 乍 also provides the pronunciation"
作,zuo4,"to do; to engage in; to write; to compose; to pretend; to feign; to regard as; to consider to be; to be; to act the part of; to feel (itchy, nauseous etc); writings; works",ideographic,"A person 亻 making something for the first time 乍; 乍 also provides the pronunciation"
佝,gou1,"used in 佝僂|佝偻[gou1 lou2]",,
佝,kou4,"used in 佝瞀[kou4mao4]",,
佞,ning4,"to flatter; flattery",ideographic,"Kindness 仁 toward a woman 女"
佟,tong2,"surname Tong",pictophonetic,"person"
你,ni3,"you (informal, as opposed to courteous 您[nin2])",ideographic,"Pronoun 尔 for a person 亻"
佣,yong4,"commission (for middleman); brokerage fee",ideographic,"An employed 用 person 亻; 用 also provides the pronunciation"
佤,wa3,"Wa, Kawa or Va ethnic group of Myanmar, south China and southeast Asia",pictophonetic,"people"
佧,ka3,"ancient name for an ethnic group in China",pictophonetic,"people"
佩,pei4,"to respect; to wear (belt etc)",ideographic,"Common 凡 cloth 巾 ornaments worn by people 亻"
佬,lao3,"male; man (Cantonese)",ideographic,"An old 老 person 亻; 老 also provides the pronunciation"
佯,yang2,"to feign; to pretend",pictophonetic,"person"
佰,bai3,"hundred (banker's anti-fraud numeral)",ideographic,"One hundred 百 people 亻; 百 also provides the pronunciation"
佳,jia1,"surname Jia",pictophonetic,"person"
佳,jia1,"beautiful; fine; good",pictophonetic,"person"
佴,er4,"assistant",ideographic,"A second 耳 person 亻; 耳 also provides the pronunciation"
并,bing4,"to combine; to amalgamate",ideographic,"Simplified form of 並; two men standing side-by-side"
佶,ji2,"difficult to pronounce",pictophonetic,"person"
佻,tiao1,"frivolous; unsteady; delay",,
佼,jiao3,"handsome",pictophonetic,"person"
佽,ci4,"surname Ci",pictophonetic,"person"
佽,ci4,"nimble; to help",pictophonetic,"person"
佾,yi4,"row of dancers at sacrifices",,
使,shi3,"to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger",ideographic,"A person 亻 working for the government 吏"
侃,kan3,"upright and honest; cheerful; to chat idly; to boast; to talk smoothly",ideographic,"As trustworthy 㐰 as spring-water 川"
侄,zhi2,"variant of 姪|侄[zhi2]",pictophonetic,"person"
来,lai2,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回來|回来[hui2lai5]); ever since (as in 自古以來|自古以来[zi4gu3 yi3lai2]); for the past (amount of time); (prefix) the coming ...; the next ... (as in 來世|来世[lai2shi4]); (between two verbs) in order to; (after a round number) approximately; (used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2de5lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1bu5lai2])",ideographic,"A wheat plant that has not yet borne fruit; compare 來"
侈,chi3,"extravagant; wasteful; exaggerating",ideographic,"A person 亻 with more than they need 多"
侉,kua3,"foreign accent",pictophonetic,"person"
例,li4,"example; precedent; rule; case; instance",pictophonetic,"person"
侌,yin1,"old variant of 陰|阴[yin1]",pictophonetic,
侍,shi4,"to serve; to attend upon",pictophonetic,"person"
侏,zhu1,"dwarf",pictophonetic,"person"
侑,you4,"(literary) to urge sb (to eat or drink)",pictophonetic,"person"
侔,mou2,"similar; comparable; equal",pictophonetic,"person"
仑,lun2,"to arrange",,
侗,dong4,"Dong ethnic group (aka Kam people)",pictophonetic,"person"
侗,tong2,"ignorant",pictophonetic,"person"
供,gong1,"to provide; to supply; to be for (the use or convenience of)",ideographic,"A person 亻 making an offering with both hands 共; 共 also provides the pronunciation"
供,gong4,"to lay (sacrificial offerings); (bound form) offerings; to confess (Taiwan pr. [gong1]); confession; statement (Taiwan pr. [gong1])",ideographic,"A person 亻 making an offering with both hands 共; 共 also provides the pronunciation"
依,yi1,"to depend on; to comply with or listen to sb; according to; in the light of",pictophonetic,"person"
侮,wu3,"to insult; to ridicule; to disgrace",,
侯,hou2,"surname Hou",pictographic,"A person 亻 who might be a target 矦"
侯,hou2,"marquis, second of the five orders of ancient Chinese nobility 五等爵位[wu3deng3 jue2wei4]; nobleman; high official",pictographic,"A person 亻 who might be a target 矦"
侵,qin1,"to invade; to encroach; to infringe; to approach",,
侣,lu:3,"companion",pictophonetic,"person"
局,ju2,"narrow",ideographic,"A place where measures 尺 are discussed 口"
便,bian4,"plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards",,
便,pian2,"used in 便宜|便宜[pian2yi5]; used in 便便[pian2pian2]; used in 便嬛[pian2xuan1]",,
俣,yu3,"big",pictophonetic,"person"
系,xi4,"to connect; to relate to; to tie up; to bind; to be (literary)",pictophonetic,"thread"
促,cu4,"(bound form) of short duration; hasty; rapid; (bound form) to hasten; to hurry; to urge; (literary) close by; pressed against",ideographic,"Someone 亻 on your heels 足; 足 also provides the pronunciation"
俄,e2,"Russia; Russian; abbr. for 俄羅斯|俄罗斯[E2 luo2 si1]; Taiwan pr. [E4]",pictophonetic,
俄,e2,"suddenly; very soon",pictophonetic,
俅,qiu2,"ornamental cap",pictophonetic,
俉,wu2,"used in 逢俉[feng2wu2]",pictophonetic,"person"
俊,jun4,"smart; eminent; handsome; talented",pictophonetic,"person"
俊,zun4,"(dialectal pronunciation of 俊[jun4]); cool; neat",pictophonetic,"person"
俎,zu3,"a stand for food at sacrifice",pictographic,"A slab of meat on a chopping board 且"
俏,qiao4,"good-looking; charming; (of goods) in great demand; (coll.) to season (food)",ideographic,"A similar 肖 person 亻; 肖 also provides the pronunciation"
俐,li4,"clever",pictophonetic,"person"
俑,yong3,"wooden figures buried with the dead",pictophonetic,"person"
俗,su2,"custom; convention; popular; common; coarse; vulgar; secular",pictophonetic,"person"
俘,fu2,"to take prisoner; prisoner of war",pictophonetic,"person"
俚,li3,"old name for the 黎[Li2] ethnic group",pictophonetic,"person"
俚,li3,"rustic; vulgar; unrefined; abbr. for 俚語|俚语[li3 yu3], slang",pictophonetic,"person"
俛,mian3,"to exhort",,
俯,fu3,"variant of 俯[fu3]",pictophonetic,"person"
俜,ping1,"used in 伶俜[ling2ping1]",ideographic,"A trusted 甹 person 亻;  甹 also provides the pronunciation"
保,bao3,"Bulgaria (abbr. for 保加利亞|保加利亚[Bao3jia1li4ya4])",pictophonetic,"person"
保,bao3,"to defend; to protect; to keep; to guarantee; to ensure; (old) civil administration unit in the baojia 保甲[bao3jia3] system",pictophonetic,"person"
俞,yu2,"surname Yu",,
俞,shu4,"variant of 腧[shu4]",,
俞,yu2,"yes (used by Emperor or ruler); OK; to accede; to assent",,
俟,qi2,"used in 万俟[Mo4 qi2]",ideographic,"A person 亻 waiting for something to finish 矣; 矣 also provides the pronunciation"
俟,si4,"(literary) to wait for",ideographic,"A person 亻 waiting for something to finish 矣; 矣 also provides the pronunciation"
侠,xia2,"knight-errant; brave and chivalrous; hero; heroic",pictophonetic,"person"
信,xin4,"letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random",,
修,xiu1,"surname Xiu",pictophonetic,"hair"
修,xiu1,"to decorate; to embellish; to repair; to build; to write; to cultivate; to study; to take (a class)",pictophonetic,"hair"
俯,fu3,"to look down; to stoop",pictophonetic,"person"
俱,ju4,"(literary) all; both; entirely; without exception; (literary) to be together; (literary) to be alike",pictophonetic,"person"
效,xiao4,"variant of 傚|效[xiao4]",pictophonetic,"strike"
俳,pai2,"not serious; variety show",pictophonetic,"person"
俸,feng4,"(bound form) salary; stipend",ideographic,"Wages offered 奉 to a person 亻; 奉 also provides the pronunciation"
俺,an3,"I (northern dialects)",pictophonetic,"person"
备,bei4,"variant of 備|备[bei4]",ideographic,"To go 夂 to the farm 田 to prepare for a harvest"
俾,bi3,"to cause; to enable; phonetic bi; Taiwan pr. [bi4]",pictophonetic,
伥,chang1,"(bound form) ghost of sb devoured by a tiger who helps the tiger devour others",pictophonetic,"person"
俩,lia3,"two (colloquial equivalent of 兩個|两个); both; some",ideographic,"A couple 寿; 寿 also provides the pronunciation"
俩,liang3,"used in 伎倆|伎俩[ji4 liang3]",ideographic,"A couple 寿; 寿 also provides the pronunciation"
仓,cang1,"barn; granary; storehouse; cabin; hold (in ship)",ideographic,"Simplified form of 倉; grains 食 kept in storage 口"
个,ge3,"used in 自個兒|自个儿[zi4 ge3 r5]",ideographic,"A tally 丨 of people 人"
个,ge4,"(classifier used before a noun that has no specific classifier); (bound form) individual",ideographic,"A tally 丨 of people 人"
倌,guan1,"keeper of domestic animals; herdsman; (old) hired hand in certain trade",pictophonetic,"person"
倍,bei4,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",,
倏,shu1,"sudden; abrupt; Taiwan pr. [shu4]",pictophonetic,"dog"
倏,shu1,"variant of 倏[shu1]",pictophonetic,"dog"
们,men5,"plural marker for pronouns, and nouns referring to individuals",pictophonetic,"people"
倒,dao3,"to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit",pictophonetic,"person"
倒,dao4,"to invert; to place upside down or frontside back; to pour out; to tip out; to dump; inverted; upside down; reversed; to go backward; contrary to what one might expect; but; yet",pictophonetic,"person"
倔,jue2,"used in 倔強|倔强[jue2 jiang4]",ideographic,"Someone 亻 who does not bend 屈; 屈 also provides the pronunciation"
倔,jue4,"gruff; surly",ideographic,"Someone 亻 who does not bend 屈; 屈 also provides the pronunciation"
幸,xing4,"trusted; intimate; (of the emperor) to visit; variant of 幸[xing4]",ideographic,"Two men, one alive 土 and one dead 干; the living one is lucky"
倘,chang2,"used in 倘佯[chang2 yang2]",pictophonetic,"person"
倘,tang3,"if; supposing; in case",pictophonetic,"person"
候,hou4,"to wait; to inquire after; to watch; season; climate; (old) period of five days",pictophonetic,"person"
倚,yi3,"to lean on; to rely upon",pictophonetic,"person"
倜,ti4,"energetic; exalted; magnanimous",,
倝,gan4,"dawn (archaic)",pictophonetic,"sunlight"
倞,jing4,"strong; powerful",ideographic,"Someone 亻 living in the capital 京; 京 also provides the pronunciation"
倞,liang4,"distant; to seek; old variant of 亮[liang4]; bright",ideographic,"Someone 亻 living in the capital 京; 京 also provides the pronunciation"
借,jie4,"to borrow; (used in combination with 給|给[gei3] or 出[chu1] etc) to lend; to make use of; to avail oneself of; (sometimes followed by 著|着[zhe5]) by; with",pictophonetic,"person"
倡,chang4,"to initiate; to instigate; to introduce; to lead",ideographic,"Someone 亻 who lights the way 昌; 昌 also provides the pronunciation"
仿,fang3,"variant of 仿[fang3]",pictophonetic,"to imitate a person"
倥,kong1,"ignorant; blank-minded",pictophonetic,"person"
倥,kong3,"urgent; pressed",pictophonetic,"person"
倦,juan4,"tired",ideographic,"A curled-up 卷 person 亻; 卷 also provides the pronunciation"
倨,ju4,"(literary) haughty; arrogant",pictophonetic,"person"
倩,qian4,"pretty; winsome; to ask for sb's help; son-in-law (old)",ideographic,"A young 青 person 亻; 青 also provides the pronunciation"
倪,ni2,"surname Ni",ideographic,"A young child 兒"
倪,ni2,"(literary) small child; (literary) limit; bound; extremity; (literary) to differentiate; (literary) origin; cause",ideographic,"A young child 兒"
伦,lun2,"human relationship; order; coherence",ideographic,"The logical order 仑 of human 亻 society; 仑 also provides the pronunciation"
倬,zhuo1,"noticeable; large; clear; distinct; Taiwan pr. [zhuo2]",pictophonetic,"person"
倭,wo1,"dwarf; Japanese (derog.) (old)",pictophonetic,"person"
倮,luo3,"variant of 裸[luo3]",pictophonetic,"person"
睬,cai3,"variant of 睬[cai3]",pictophonetic,"eye"
倻,ye1,"used to represent phonetic ""ya"" in Korean names",pictophonetic,"people"
值,zhi2,"value; (to be) worth; to happen to; to be on duty",pictophonetic,"person"
偃,yan3,"surname Yan",pictophonetic,"person"
偃,yan3,"to lie supine; to stop; to fall down",pictophonetic,"person"
假,gei1,"used in 假掰[gei1 bai1]",ideographic,"A false 叚 person 亻; 叚 also provides the pronunciation"
假,jia3,"fake; false; artificial; to borrow; if; suppose",ideographic,"A false 叚 person 亻; 叚 also provides the pronunciation"
假,jia4,"vacation",ideographic,"A false 叚 person 亻; 叚 also provides the pronunciation"
偈,ji4,"Buddhist hymn; gatha; Buddhist verse",,
偈,jie2,"forceful; martial",,
伟,wei3,"big; large; great",pictophonetic,"person"
偌,ruo4,"so; such; to such a degree",pictophonetic,"person"
偎,wei1,"to cuddle",ideographic,"To cling to someone 亻 in fear 畏; 畏 also provides the pronunciation"
偏,pian1,"to lean; to slant; oblique; prejudiced; to deviate from average; to stray from the intended line; stubbornly; contrary to expectations",pictophonetic,"person"
偕,xie2,"in company with",pictophonetic,"person"
侃,kan3,"old variant of 侃[kan3]",ideographic,"As trustworthy 㐰 as spring-water 川"
做,zuo4,"to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)",ideographic,"Someone 亻 who causes things to happen 故; 故 also provides the pronuncation"
停,ting2,"to stop; to halt; to park (a car)",pictophonetic,"person"
健,jian4,"healthy; to invigorate; to strengthen; to be good at; to be strong in",ideographic,"Someone 亻 who can build 建 things; 建 also provides the pronunciation"
逼,bi1,"variant of 逼[bi1]; to compel; to pressure",pictophonetic,"walk"
侧,ce4,"the side; to incline towards; to lean; inclined; lateral; side",pictophonetic,"person"
侧,zhai1,"lean on one side",pictophonetic,"person"
侦,zhen1,"to scout; to spy; to detect",pictophonetic,"person"
偶,ou3,"accidental; image; pair; mate",pictophonetic,"person"
偷,tou1,"to steal; to pilfer; to snatch; thief; stealthily",pictophonetic,"person"
咱,zan2,"variant of 咱[zan2]",pictophonetic,"mouth"
伪,wei3,"false; fake; forged; bogus; (prefix) pseudo-; Taiwan pr. [wei4]",pictophonetic,
傀,gui1,"grand; strange; exotic",pictophonetic,"person"
傀,kui3,"used in 傀儡[kui3lei3]",pictophonetic,"person"
傅,fu4,"surname Fu",ideographic,"Someone 亻 who lectures 尃; 尃 also provides the pronunciation"
傅,fu4,"(bound form) instructor; (literary) to instruct; to attach; to apply (makeup etc)",ideographic,"Someone 亻 who lectures 尃; 尃 also provides the pronunciation"
傈,li4,"used in 傈僳[Li4 su4]",pictophonetic,"people"
傍,bang4,"near; approaching; to depend on; (slang) to have an intimate relationship with sb; Taiwan pr. [pang2], [bang1], [bang4]",ideographic,"Someone 亻 by your side 旁; 旁 also provides the pronunciation"
