form,sound,meaning,type,etymology
布,bu4,"variant of 布[bu4]; to announce; to spread",ideographic,"Cloth 巾 held in a hand"
佉,qu1,"surname Qu",pictophonetic,"person"
位,wei4,"position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); (physics) potential",ideographic,"The place where a person 亻 stands 立"
低,di1,"low; beneath; to lower (one's head); to let droop; to hang down; to incline",pictophonetic,
住,zhu4,"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)",ideographic,"A person 亻 who hosts 主; 主 also provides the pronunciation"
佐,zuo3,"to assist; assistant; aide; to accompany",pictophonetic,"person"
佑,you4,"(bound form) to bless; to protect",pictophonetic,"person"
占,zhan4,"variant of 占[zhan4]",ideographic,"To speak 口 omens ⺊"
何,he2,"surname He",,
何,he2,"what; how; why; which; carry",,
佗,tuo2,"carry on the back",ideographic,"Another 它 person 亻; see 他 and 她 for modern variants"
佘,she2,"surname She",pictophonetic,"person"
余,yu2,"surname Yu",,
余,yu2,"(literary) I; me; variant of 餘|余[yu2]",,
佚,yi4,"surname Yi",ideographic,"To lose 失 a person 亻"
佚,die2,"old variant of 迭[die2]",ideographic,"To lose 失 a person 亻"
