id,form,meaning,type,etymology
332,佳,"surname Jia",pictophonetic,"person"
333,佳,"beautiful; fine; good",pictophonetic,"person"
334,佴,"assistant",ideographic,"A second 耳 person 亻; 耳 also provides the pronunciation"
335,并,"to combine; to amalgamate",ideographic,"Simplified form of 並; two men standing side-by-side"
336,佶,"difficult to pronounce",pictophonetic,"person"
337,佻,"frivolous; unsteady; delay",,
338,佼,"handsome",pictophonetic,"person"
339,佽,"surname Ci",pictophonetic,"person"
340,佽,"nimble; to help",pictophonetic,"person"
341,佾,"row of dancers at sacrifices",,
342,使,"to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger",ideographic,"A person 亻 working for the government 吏"
343,侃,"upright and honest; cheerful; to chat idly; to boast; to talk smoothly",ideographic,"As trustworthy 㐰 as spring-water 川"
344,侄,"variant of 姪|侄[zhi2]",pictophonetic,"person"
345,来,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回來|回来[hui2lai5]); ever since (as in 自古以來|自古以来[zi4gu3 yi3lai2]); for the past (amount of time); (prefix) the coming ...; the next ... (as in 來世|来世[lai2shi4]); (between two verbs) in order to; (after a round number) approximately; (used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2de5lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1bu5lai2])",ideographic,"A wheat plant that has not yet borne fruit; compare 來"
346,侈,"extravagant; wasteful; exaggerating",ideographic,"A person 亻 with more than they need 多"
347,侉,"foreign accent",pictophonetic,"person"
348,例,"example; precedent; rule; case; instance",pictophonetic,"person"
349,侌,"old variant of 陰|阴[yin1]",pictophonetic,
350,侍,"to serve; to attend upon",pictophonetic,"person"
351,侏,"dwarf",pictophonetic,"person"
352,侑,"(literary) to urge sb (to eat or drink)",pictophonetic,"person"
353,侔,"similar; comparable; equal",pictophonetic,"person"
354,仑,"to arrange",,
355,侗,"Dong ethnic group (aka Kam people)",pictophonetic,"person"
356,侗,"ignorant",pictophonetic,"person"
357,供,"to provide; to supply; to be for (the use or convenience of)",ideographic,"A person 亻 making an offering with both hands 共; 共 also provides the pronunciation"
358,供,"to lay (sacrificial offerings); (bound form) offerings; to confess (Taiwan pr. [gong1]); confession; statement (Taiwan pr. [gong1])",ideographic,"A person 亻 making an offering with both hands 共; 共 also provides the pronunciation"
359,依,"to depend on; to comply with or listen to sb; according to; in the light of",pictophonetic,"person"
360,侮,"to insult; to ridicule; to disgrace",,
361,侯,"surname Hou",pictographic,"A person 亻 who might be a target 矦"
362,侯,"marquis, second of the five orders of ancient Chinese nobility 五等爵位[wu3deng3 jue2wei4]; nobleman; high official",pictographic,"A person 亻 who might be a target 矦"
363,侵,"to invade; to encroach; to infringe; to approach",,
364,侣,"companion",pictophonetic,"person"
365,局,"narrow",ideographic,"A place where measures 尺 are discussed 口"
366,便,"plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards",,
367,便,"used in 便宜|便宜[pian2yi5]; used in 便便[pian2pian2]; used in 便嬛[pian2xuan1]",,
368,俣,"big",pictophonetic,"person"
369,系,"to connect; to relate to; to tie up; to bind; to be (literary)",pictophonetic,"thread"
370,促,"(bound form) of short duration; hasty; rapid; (bound form) to hasten; to hurry; to urge; (literary) close by; pressed against",ideographic,"Someone 亻 on your heels 足; 足 also provides the pronunciation"
371,俄,"Russia; Russian; abbr. for 俄羅斯|俄罗斯[E2 luo2 si1]; Taiwan pr. [E4]",pictophonetic,
372,俄,"suddenly; very soon",pictophonetic,
373,俅,"ornamental cap",pictophonetic,
374,俉,"used in 逢俉[feng2wu2]",pictophonetic,"person"
375,俊,"smart; eminent; handsome; talented",pictophonetic,"person"
376,俊,"(dialectal pronunciation of 俊[jun4]); cool; neat",pictophonetic,"person"
377,俎,"a stand for food at sacrifice",pictographic,"A slab of meat on a chopping board 且"
378,俏,"good-looking; charming; (of goods) in great demand; (coll.) to season (food)",ideographic,"A similar 肖 person 亻; 肖 also provides the pronunciation"
379,俐,"clever",pictophonetic,"person"
380,俑,"wooden figures buried with the dead",pictophonetic,"person"
381,俗,"custom; convention; popular; common; coarse; vulgar; secular",pictophonetic,"person"
382,俘,"to take prisoner; prisoner of war",pictophonetic,"person"
383,俚,"old name for the 黎[Li2] ethnic group",pictophonetic,"person"
384,俚,"rustic; vulgar; unrefined; abbr. for 俚語|俚语[li3 yu3], slang",pictophonetic,"person"
385,俛,"to exhort",,
386,俯,"variant of 俯[fu3]",pictophonetic,"person"
387,俜,"used in 伶俜[ling2ping1]",ideographic,"A trusted 甹 person 亻;  甹 also provides the pronunciation"
388,保,"Bulgaria (abbr. for 保加利亞|保加利亚[Bao3jia1li4ya4])",pictophonetic,"person"
389,保,"to defend; to protect; to keep; to guarantee; to ensure; (old) civil administration unit in the baojia 保甲[bao3jia3] system",pictophonetic,"person"
390,俞,"surname Yu",,
391,俞,"variant of 腧[shu4]",,
392,俞,"yes (used by Emperor or ruler); OK; to accede; to assent",,
393,俟,"used in 万俟[Mo4 qi2]",ideographic,"A person 亻 waiting for something to finish 矣; 矣 also provides the pronunciation"
394,俟,"(literary) to wait for",ideographic,"A person 亻 waiting for something to finish 矣; 矣 also provides the pronunciation"
395,侠,"knight-errant; brave and chivalrous; hero; heroic",pictophonetic,"person"
396,信,"letter; mail; CL:封[feng1]; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random",,
397,修,"surname Xiu",pictophonetic,"hair"
398,修,"to decorate; to embellish; to repair; to build; to write; to cultivate; to study; to take (a class)",pictophonetic,"hair"
399,俯,"to look down; to stoop",pictophonetic,"person"
400,俱,"(literary) all; both; entirely; without exception; (literary) to be together; (literary) to be alike",pictophonetic,"person"
401,效,"variant of 傚|效[xiao4]",pictophonetic,"strike"
402,俳,"not serious; variety show",pictophonetic,"person"
403,俸,"(bound form) salary; stipend",ideographic,"Wages offered 奉 to a person 亻; 奉 also provides the pronunciation"
404,俺,"I (northern dialects)",pictophonetic,"person"
405,备,"variant of 備|备[bei4]",ideographic,"To go 夂 to the farm 田 to prepare for a harvest"
406,俾,"to cause; to enable; phonetic bi; Taiwan pr. [bi4]",pictophonetic,
407,伥,"(bound form) ghost of sb devoured by a tiger who helps the tiger devour others",pictophonetic,"person"
408,俩,"two (colloquial equivalent of 兩個|两个); both; some",ideographic,"A couple 寿; 寿 also provides the pronunciation"
409,俩,"used in 伎倆|伎俩[ji4 liang3]",ideographic,"A couple 寿; 寿 also provides the pronunciation"
410,仓,"barn; granary; storehouse; cabin; hold (in ship)",ideographic,"Simplified form of 倉; grains 食 kept in storage 口"
411,个,"used in 自個兒|自个儿[zi4 ge3 r5]",ideographic,"A tally 丨 of people 人"
412,个,"(classifier used before a noun that has no specific classifier); (bound form) individual",ideographic,"A tally 丨 of people 人"
413,倌,"keeper of domestic animals; herdsman; (old) hired hand in certain trade",pictophonetic,"person"
414,倍,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",,
415,倏,"sudden; abrupt; Taiwan pr. [shu4]",pictophonetic,"dog"
416,倏,"variant of 倏[shu1]",pictophonetic,"dog"
417,们,"plural marker for pronouns, and nouns referring to individuals",pictophonetic,"people"
418,倒,"to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit",pictophonetic,"person"
419,倒,"to invert; to place upside down or frontside back; to pour out; to tip out; to dump; inverted; upside down; reversed; to go backward; contrary to what one might expect; but; yet",pictophonetic,"person"
420,倔,"used in 倔強|倔强[jue2 jiang4]",ideographic,"Someone 亻 who does not bend 屈; 屈 also provides the pronunciation"
421,倔,"gruff; surly",ideographic,"Someone 亻 who does not bend 屈; 屈 also provides the pronunciation"
422,幸,"trusted; intimate; (of the emperor) to visit; variant of 幸[xing4]",ideographic,"Two men, one alive 土 and one dead 干; the living one is lucky"
423,倘,"used in 倘佯[chang2 yang2]",pictophonetic,"person"
424,倘,"if; supposing; in case",pictophonetic,"person"
425,候,"to wait; to inquire after; to watch; season; climate; (old) period of five days",pictophonetic,"person"
426,倚,"to lean on; to rely upon",pictophonetic,"person"
427,倜,"energetic; exalted; magnanimous",,
428,倝,"dawn (archaic)",pictophonetic,"sunlight"
429,倞,"strong; powerful",ideographic,"Someone 亻 living in the capital 京; 京 also provides the pronunciation"
430,倞,"distant; to seek; old variant of 亮[liang4]; bright",ideographic,"Someone 亻 living in the capital 京; 京 also provides the pronunciation"
431,借,"to borrow; (used in combination with 給|给[gei3] or 出[chu1] etc) to lend; to make use of; to avail oneself of; (sometimes followed by 著|着[zhe5]) by; with",pictophonetic,"person"
432,倡,"to initiate; to instigate; to introduce; to lead",ideographic,"Someone 亻 who lights the way 昌; 昌 also provides the pronunciation"
433,仿,"variant of 仿[fang3]",pictophonetic,"to imitate a person"
434,倥,"ignorant; blank-minded",pictophonetic,"person"
435,倥,"urgent; pressed",pictophonetic,"person"
436,倦,"tired",ideographic,"A curled-up 卷 person 亻; 卷 also provides the pronunciation"
437,倨,"(literary) haughty; arrogant",pictophonetic,"person"
438,倩,"pretty; winsome; to ask for sb's help; son-in-law (old)",ideographic,"A young 青 person 亻; 青 also provides the pronunciation"
439,倪,"surname Ni",ideographic,"A young child 兒"
440,倪,"(literary) small child; (literary) limit; bound; extremity; (literary) to differentiate; (literary) origin; cause",ideographic,"A young child 兒"
441,伦,"human relationship; order; coherence",ideographic,"The logical order 仑 of human 亻 society; 仑 also provides the pronunciation"
442,倬,"noticeable; large; clear; distinct; Taiwan pr. [zhuo2]",pictophonetic,"person"
443,倭,"dwarf; Japanese (derog.) (old)",pictophonetic,"person"
444,倮,"variant of 裸[luo3]",pictophonetic,"person"
445,睬,"variant of 睬[cai3]",pictophonetic,"eye"
446,倻,"used to represent phonetic ""ya"" in Korean names",pictophonetic,"people"
447,值,"value; (to be) worth; to happen to; to be on duty",pictophonetic,"person"
448,偃,"surname Yan",pictophonetic,"person"
449,偃,"to lie supine; to stop; to fall down",pictophonetic,"person"
450,假,"used in 假掰[gei1 bai1]",ideographic,"A false 叚 person 亻; 叚 also provides the pronunciation"
451,假,"fake; false; artificial; to borrow; if; suppose",ideographic,"A false 叚 person 亻; 叚 also provides the pronunciation"
452,假,"vacation",ideographic,"A false 叚 person 亻; 叚 also provides the pronunciation"
453,偈,"Buddhist hymn; gatha; Buddhist verse",,
454,偈,"forceful; martial",,
455,伟,"big; large; great",pictophonetic,"person"
456,偌,"so; such; to such a degree",pictophonetic,"person"
457,偎,"to cuddle",ideographic,"To cling to someone 亻 in fear 畏; 畏 also provides the pronunciation"
458,偏,"to lean; to slant; oblique; prejudiced; to deviate from average; to stray from the intended line; stubbornly; contrary to expectations",pictophonetic,"person"
459,偕,"in company with",pictophonetic,"person"
460,侃,"old variant of 侃[kan3]",ideographic,"As trustworthy 㐰 as spring-water 川"
461,做,"to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)",ideographic,"Someone 亻 who causes things to happen 故; 故 also provides the pronuncation"
462,停,"to stop; to halt; to park (a car)",pictophonetic,"person"
463,健,"healthy; to invigorate; to strengthen; to be good at; to be strong in",ideographic,"Someone 亻 who can build 建 things; 建 also provides the pronunciation"
464,逼,"variant of 逼[bi1]; to compel; to pressure",pictophonetic,"walk"
465,侧,"the side; to incline towards; to lean; inclined; lateral; side",pictophonetic,"person"
466,侧,"lean on one side",pictophonetic,"person"
467,侦,"to scout; to spy; to detect",pictophonetic,"person"
468,偶,"accidental; image; pair; mate",pictophonetic,"person"
469,偷,"to steal; to pilfer; to snatch; thief; stealthily",pictophonetic,"person"
470,咱,"variant of 咱[zan2]",pictophonetic,"mouth"
471,伪,"false; fake; forged; bogus; (prefix) pseudo-; Taiwan pr. [wei4]",pictophonetic,
472,傀,"grand; strange; exotic",pictophonetic,"person"
473,傀,"used in 傀儡[kui3lei3]",pictophonetic,"person"
474,傅,"surname Fu",ideographic,"Someone 亻 who lectures 尃; 尃 also provides the pronunciation"
475,傅,"(bound form) instructor; (literary) to instruct; to attach; to apply (makeup etc)",ideographic,"Someone 亻 who lectures 尃; 尃 also provides the pronunciation"
476,傈,"used in 傈僳[Li4 su4]",pictophonetic,"people"
477,傍,"near; approaching; to depend on; (slang) to have an intimate relationship with sb; Taiwan pr. [pang2], [bang1], [bang4]",ideographic,"Someone 亻 by your side 旁; 旁 also provides the pronunciation"
478,杰,"(bound form) hero; heroic; outstanding person; prominent; distinguished",,
479,傕,"surname Jue",pictophonetic,"person"
480,傕,"used in old names",pictophonetic,"person"
481,伧,"low fellow; rustic; rude; rough",ideographic,"A person 亻 from the farm 仓; 仓 also provides the pronunciation"
482,伞,"umbrella; parasol; CL:把[ba3]",pictographic,"An umbrella"
483,备,"(bound form) to prepare; to equip; (literary) fully; in every possible way",ideographic,"To go 夂 to the farm 田 to prepare for a harvest"
