id,form,meaning,type,etymology
9253,颓,"variant of 頹|颓[tui2]",ideographic,"A bald 秃 head 页; 秃 also provides the pronunciation"
9254,颗,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc",pictophonetic,"grain"
9255,悴,"variant of 悴[cui4]",pictophonetic,"heart"
9256,腮,"variant of 腮[sai1]",pictophonetic,"flesh"
9257,题,"surname Ti",pictophonetic,"head"
9258,题,"topic; problem for discussion; exam question; subject; to inscribe; to mention; CL:個|个[ge4],道[dao4]",pictophonetic,"head"
9259,额,"forehead; horizontal tablet or inscribed board; specified number or amount",pictophonetic,"head"
9260,颚,"jaw; palate",pictophonetic,"head"
9261,颜,"surname Yan",pictophonetic,"head"
9262,颜,"color; face; countenance",pictophonetic,"head"
9263,颛,"surname Zhuan",pictophonetic,"head"
9264,颛,"good; simple",pictophonetic,"head"
9265,颜,"Japanese variant of 顏|颜[yan2]",pictophonetic,"head"
9266,愿,"(bound form) wish; hope; desire; to be willing; to wish (that sth may happen); may ...; vow; pledge",pictophonetic,"heart"
9267,颡,"(literary) forehead",pictophonetic,"head"
9268,颠,"top (of the head); apex; to fall forwards; inverted; to jolt",pictophonetic,"head"
9269,类,"kind; type; class; category; similar; like; to resemble",,
9270,颟,"dawdling",,
9271,颢,"(literary) white and shining",,
9272,憔,"variant of 憔[qiao2]",pictophonetic,"heart"
9273,顾,"surname Gu",pictophonetic,"head"
9274,顾,"to look after; to take into consideration; to attend to",pictophonetic,"head"
9275,颤,"to tremble; to shiver; to shake; to vibrate; Taiwan pr. [zhan4]",pictophonetic,"leaf"
9276,颥,"see 顳顬|颞颥, temple (the sides of human head)",pictophonetic,"head"
9277,显,"to make visible; to reveal; prominent; conspicuous; (prefix) phanero-",pictophonetic,"sun"
9278,颦,"to scowl; to knit the brows",pictophonetic,"despise"
9279,颅,"forehead; skull",pictophonetic,"head"
9280,颞,"bones of the temple (on the human head); see 顳顬|颞颥, temple",pictophonetic,"head"
9281,颧,"cheek bones",pictophonetic,"head"
9282,风,"wind; news; style; custom; manner; CL:陣|阵[zhen4],絲|丝[si1]",,
9283,飐,"to sway in the wind",pictophonetic,"wind"
9284,飑,"whirlwind",ideographic,"Wind 风 that wraps 包 on itself; 包 also provides the pronunciation"
9285,飒,"sound of wind; valiant; melancholy",pictophonetic,"wind"
9286,台,"typhoon",,
9287,刮,"to blow (of the wind)",pictophonetic,"knife"
9288,飓,"hurricane",pictophonetic,"wind"
9289,飖,"floating in the air",pictophonetic,"wind"
9290,飕,"to blow (as of wind); sound of wind; sough",pictophonetic,"wind"
9291,帆,"to gallop; Taiwan pr. [fan2]; variant of 帆[fan1]",pictophonetic,"cloth"
9292,飘,"variant of 飄|飘[piao1]",pictophonetic,"wind"
9293,飘,"to float (in the air); to flutter; to waft; complacent; frivolous; weak; shaky; wobbly",pictophonetic,"wind"
9294,飙,"whirlwind; violent wind",ideographic,"Storm 猋 winds 风; 猋 also provides the pronunciation"
9295,飚,"variant of 飆|飙[biao1]",ideographic,"A particularly fierce 焱 storm 风"
9296,飞,"to fly",pictographic,"A bird flapping its wings"
9297,翻,"variant of 翻[fan1]",pictophonetic,"wings"
9298,食,"to eat; food; animal feed; eclipse",pictographic,"A dish of food 良 with a lid on top 人"
9299,食,"to feed (a person or animal)",pictographic,"A dish of food 良 with a lid on top 人"
9300,饣,"""to eat"" or ""food"" radical in Chinese characters (Kangxi radical 184)",,
9301,饥,"(bound form) hungry",pictophonetic,"food"
9302,饲,"old variant of 飼|饲[si4]",pictophonetic,"food"
9303,飧,"(literary) supper",ideographic,"An evening 夕 meal 食"
9304,饨,"used in 餛飩|馄饨[hun2 tun5]; Taiwan pr. [dun4]",pictophonetic,"food"
9305,饪,"cooked food; to cook (until ready)",pictophonetic,"food"
9306,饫,"full (as of eating)",pictophonetic,"eat"
9307,飬,"old variant of 餋[juan4]",pictophonetic,"food"
9308,飬,"old variant of 養|养[yang3]",pictophonetic,"food"
9309,饬,"(bound form) to put in order; to arrange properly; circumspect; well-behaved; to give (sb) an order",pictophonetic,"strength"
9310,饭,"cooked rice; CL:碗[wan3]; meal; CL:頓|顿[dun4]; (loanword) fan; devotee",pictophonetic,"food"
9311,飧,"variant of 飧[sun1]",ideographic,"An evening 夕 meal 食"
9312,饮,"to drink",pictophonetic,"food"
9313,饮,"to give (animals) water to drink",pictophonetic,"food"
9314,饴,"maltose syrup",pictophonetic,"food"
9315,饲,"to raise; to rear; to feed",pictophonetic,"food"
9316,饱,"to eat till full; satisfied",pictophonetic,"food"
9317,饰,"decoration; ornament; to decorate; to adorn; to hide; to conceal (a fault); excuse (to hide a fault); to play a role (in opera); to impersonate",pictophonetic,"cloth"
9318,饪,"variant of 飪|饪[ren4]",pictophonetic,"food"
9319,饺,"dumplings with meat filling",pictophonetic,"food"
9320,饸,"used in 餄餎|饸饹[he2le5]",pictophonetic,"food"
9321,饼,"round flat cake; cookie; cake; pastry; CL:張|张[zhang1]",pictophonetic,"food"
9322,饷,"soldier's pay",pictophonetic,"food"
9323,养,"to raise (animals); to bring up (children); to keep (pets); to support; to give birth",pictophonetic,"child"
9324,饵,"pastry; food; to swallow; to lure; bait; lure",pictophonetic,"food"
9325,饹,"used in 餎餷|饹馇[ge1 zha5]",pictophonetic,"food"
9326,饹,"used in 餄餎|饸饹[he2le5]",pictophonetic,"food"
